City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Olafsvik,IS,2020-04-18 03:22:15,64.89,-23.71,42.3,84,100,28.05
115,Adrar,MR,2020-04-18 03:22:15,20.5,-10.07,83.28,22,80,10.76
116,Necochea,AR,2020-04-18 03:22:16,-38.55,-58.74,60.01,86,2,8.99
117,Genhe,CN,2020-04-18 03:22:16,50.78,121.52,56.57,26,45,6.73
118,Mar Del Plata,AR,2020-04-18 03:17:30,-38.0,-57.56,61.0,87,0,9.17
119,Paamiut,GL,2020-04-18 03:22:16,61.99,-49.67,26.26,93,100,10.94
120,Avarua,CK,2020-04-18 03:22:16,-21.21,-159.78,80.6,69,10,4.7
121,Clyde River,CA,2020-04-18 03:22:17,70.47,-68.59,8.6,84,90,17.22
122,Torbay,CA,2020-04-18 03:22:17,47.67,-52.73,30.99,63,75,10.29
123,Vangaindrano,MG,2020-04-18 03:22:17,-23.35,47.6,70.88,81,35,1.9
124,Margate,GB,2020-04-18 03:19:26,51.38,1.39,48.0,96,99,5.99
125,Sitka,US,2020-04-18 03:22:18,57.05,-135.33,48.2,81,75,3.56
126,Fairbanks,US,2020-04-18 03:19:24,64.84,-147.72,45.0,81,90,2.42
127,Zhigalovo,RU,2020-04-18 03:18:27,54.81,105.16,39.52,58,100,10.47
128,Khatanga,RU,2020-04-18 03:18:06,71.97,102.5,15.76,92,0,13.6
129,Pimenta Bueno,BR,2020-04-18 03:18:07,-11.67,-61.19,70.21,70,15,5.75
130,Aksarka,RU,2020-04-18 03:22:19,66.56,67.8,32.85,97,97,7.14
131,Biak,ID,2020-04-18 03:22:19,-0.91,122.88,84.0,70,84,1.12
132,Buchanan,LR,2020-04-18 03:22:19,5.88,-10.05,81.19,89,100,7.45
133,Sterling,US,2020-04-18 03:22:20,39.01,-77.43,51.01,76,90,3.36
134,Pavlivka,UA,2020-04-18 03:22:20,49.44,28.46,32.0,70,87,8.95
135,Los Palacios,CU,2020-04-18 03:22:20,22.59,-83.25,78.33,77,12,1.34
136,New Norfolk,AU,2020-04-18 03:22:20,-42.78,147.06,55.99,73,93,1.99
137,Podolinec,SK,2020-04-18 03:22:21,49.26,20.54,30.99,70,28,1.66
138,Cabo San Lucas,MX,2020-04-18 03:22:22,22.89,-109.91,66.99,72,5,16.11
139,Innisfail,AU,2020-04-18 03:22:22,-17.53,146.03,86.0,55,78,1.99
140,Ekhabi,RU,2020-04-18 03:22:22,53.51,142.97,26.24,92,100,12.08
141,Qaanaaq,GL,2020-04-18 03:22:22,77.48,-69.36,11.48,80,13,8.03
142,Severomuysk,RU,2020-04-18 03:22:22,56.15,113.43,21.85,69,100,8.05
143,Kruisfontein,ZA,2020-04-18 03:22:23,-34.0,24.73,55.69,84,72,3.2
144,Mugur-Aksy,RU,2020-04-18 03:22:23,50.35,90.5,35.31,32,0,5.17
145,Laurel,US,2020-04-18 03:22:24,39.1,-76.85,51.8,81,90,4.27
146,Baiao,BR,2020-04-18 03:22:24,-2.79,-49.67,72.28,96,100,1.19
147,Bend,US,2020-04-18 03:22:13,44.06,-121.32,62.6,9,1,3.87
148,Chokurdakh,RU,2020-04-18 03:22:25,70.63,147.92,-3.08,90,50,4.85
149,Vardo,NO,2020-04-18 03:22:25,70.37,31.11,32.49,97,100,26.04
150,Aklavik,CA,2020-04-18 03:22:26,68.22,-135.01,33.8,80,75,5.82
151,Yakeshi,CN,2020-04-18 03:22:26,49.28,120.73,58.86,25,100,10.42
152,Coquimbo,CL,2020-04-18 03:22:26,-29.95,-71.34,57.2,87,0,3.36
153,Xocali,AZ,2020-04-18 03:22:26,39.91,46.79,52.16,53,33,2.93
154,Baykit,RU,2020-04-18 03:22:27,61.67,96.37,35.06,80,95,4.0
155,Kyzyl-Suu,KG,2020-04-18 03:22:27,42.34,78.0,45.45,33,32,2.68
156,Mamlyutka,KZ,2020-04-18 03:22:27,54.94,68.54,48.2,70,55,11.18
157,Pisco,PE,2020-04-18 03:22:27,-13.7,-76.22,71.01,77,3,11.41
158,Ancud,CL,2020-04-18 03:22:28,-41.87,-73.82,55.4,100,90,5.82
159,Solnechnyy,RU,2020-04-18 03:22:28,50.72,136.63,46.51,47,4,3.4
160,Dongying,CN,2020-04-18 03:22:28,37.46,118.49,67.53,30,2,6.58
161,Oranjemund,NA,2020-04-18 03:22:28,-28.55,16.43,55.27,93,19,0.98
162,Gboko,NG,2020-04-18 03:22:29,7.32,9.0,79.2,74,35,14.63
163,Tanout,NE,2020-04-18 03:22:29,14.97,8.89,75.6,13,0,7.18
164,Meiganga,CM,2020-04-18 03:22:29,6.52,14.3,67.37,72,39,2.82
165,Evensk,RU,2020-04-18 03:18:18,61.95,159.23,21.33,88,1,6.11
166,Nabire,ID,2020-04-18 03:18:45,-3.37,135.48,89.26,59,66,5.84
167,Joshimath,IN,2020-04-18 03:22:30,30.57,79.57,57.2,22,52,1.36
168,Lebu,CL,2020-04-18 03:22:30,-37.62,-73.65,60.78,94,100,3.69
169,Brae,GB,2020-04-18 03:22:30,60.4,-1.35,39.2,67,0,4.85
170,Acarau,BR,2020-04-18 03:19:28,-2.89,-40.12,75.47,89,82,2.24
171,Hami,CN,2020-04-18 03:18:21,42.8,93.45,66.67,19,22,6.11
